PLAY "Jouer"
SETTINGS "Options"
HIGHSCORES "Scores"
ACHIEVEMENTS "Succès"
CREDITS "Crédits"
QUIT "Quitter"

ADJECTIVE_INFO "{1}{2}{3}"
A_ARTICLE "un {1}"

ABANDON_GAME_CONFIRM "Veux-tu abandonner ta partie ? C'est permanent et le fichier de sauvegarde sera supprimé !"

ABOMINATIONS_UPGRADE_TYPE "automates"

ABSORB_MINION_BUTTON "Absorber"
ABSORB_TASK "Absorber {1}"
ABUSE_TASK "Abuser de {1}"

ACHIEVEMENT_EFFECT_DESCRIPTION "Débloque un succès."
ACHIEVEMENT_EFFECT_NAME "débloquer un succès"

ADD_CONSUMABLE "Ajouter un consommable"
ADD_DUNGEON "Ajouter"
ADD_EXPERIENCE_DESCRIPTION "Augmente l'expérience de combat de la créature"
ADD_EXPERIENCE_NAME "expérience de combat"
ADD_RETIRED_DUNGEONS "Ajouter des donjons retirés"
ADD_TO_TEAM_ACTION "Ajouter à l'équipe"

ADVENTURER "Aventurier"

AGGRAVATED_TRIGGER "Agressivité due aux sbires"
AGGRAVATES_ENEMIES "{1} agace les ennemis"

AI_AFRAID_OF "L'IA a peur de"

AIR_BLAST_EFFECT_DESCRIPTION "Crée une rafale d'air dirigée qui repousse les créatures et les objets."
AIR_BLAST_EFFECT_NAME "rafale d'air"

ALARM_EFFECT_DESCRIPTION "Déclenche une alarme ou alerte les créatures proches"
ALARM_EFFECT_NAME "alarme"

ALL_CREATURES "toutes les créatures"
ALLIED_MAGICAL_FIELD_HIGHLIGHT "Champ magique allié"
ALLIES "alliés"
ALL_VILLAINS "Tous les vilains"
ALLY_DOESNT_EXIST "L'allié n'existe pas"

A_MINION_BECOMES_PREGNANT "Un sbire tombe enceinte"

AMULET_OF "amulette de {1}"
"amulettes de {1}" : plural

ANALYTICS_EFFECT_DESCRIPTION "Déclenche un événement d'analyse/logs"
ANALYTICS_EFFECT_NAME "analytiques"

ANIMAL_PEN_MUST_BE_SEPARATE_HIGHLIGHT "L'enclos doit être séparé de l'extérieur et de tous les escaliers en utilisant une clôture pour animaux"

ANIMATE_CORPSES_EFFECT_DESCRIPTION "Anime jusqu'à {1} cadavres des environs."
ANIMATE_CORPSES_EFFECT_NAME "animer des cadavres"

ANIMATED_OBJECT "{1} animé"

ANIMATE_WEAPONS_EFFECT_DESCRIPTION "Anime jusqu'à {1} armes des environs."
ANIMATE_WEAPONS_EFFECT_NAME "animer des armes"

ANIMATE_SMALL_ITEMS_EFFECT_DESCRIPTION "Anime jusqu'à {1} petits objets des environs."
ANIMATE_SMALL_ITEMS_EFFECT_NAME "animer des petits objets"

